Series	Array	platform	TumorOrNormal	CNsegments	fracbsegments	skewness_seg	kurtosis_seg	skewness_prob	kurtosis_prob	probeMean	segMedian	positive_segment_ratio_mean	positive_segment_ratio_med
GSE11948	GSM301488	GPL3720	Normal	487	353	0.5021	4.8215	0.2856	-0.0096	-0.0081	-0.0370	0.4199	0.4911
GSE11948	GSM301489	GPL3718	Normal	1053	238	2.2486	7.2830	0.7841	4.7809	0.0558	0.0239	0.4679	0.4983
GSE11948	GSM301490	GPL3720	Normal	743	237	1.6638	3.8497	0.2856	0.6943	0.0459	0.1169	0.5831	0.5122
GSE11948	GSM301491	GPL3718	Normal	1257	398	0.0232	3.6152	-0.1798	1.2918	0.0237	0.0142	0.4733	0.5001
GSE11948	GSM301492	GPL3720	Normal	417	297	1.1555	4.6430	0.2959	-0.1127	0.0029	0.0038	0.5248	0.5070
GSE11948	GSM301493	GPL3718	Normal	83	449	0.1463	14.3724	-0.1514	0.7479	-0.0169	-0.0093	0.8886	0.4869
GSE11948	GSM301494	GPL3720	Normal	108	264	2.8584	17.4831	0.3366	-0.2294	-0.0104	-0.0045	0.7043	0.4791
GSE11948	GSM301495	GPL3718	Normal	96	324	-2.6843	15.9691	0.0172	1.2319	0.0085	0.0059	0.4012	0.5149
GSE11948	GSM301496	GPL3720	Normal	81	346	1.5139	14.1524	0.4187	-0.1410	-0.0001	-0.0043	0.2131	0.5081
GSE11948	GSM301497	GPL3718	Normal	1868	316	0.3640	0.7905	0.1798	0.6139	0.0338	0.0173	0.4808	0.4998
GSE11948	GSM301498	GPL3720	Normal	1283	273	0.3874	1.2937	0.3327	0.1027	0.0207	-0.0713	0.3877	0.4998
GSE11948	GSM301499	GPL3718	Normal	697	314	0.7894	0.7916	0.1036	1.1984	0.0306	0.0000	0.3524	0.4841
GSE11948	GSM301500	GPL3720	Normal	473	258	1.0506	2.2160	0.3403	0.0031	0.0181	-0.0342	0.3222	0.4997
GSE11948	GSM301501	GPL3718	Normal	535	319	0.8499	6.9048	0.1320	0.8535	-0.0149	0.0016	0.5918	0.5000
GSE11948	GSM301502	GPL3720	Normal	296	354	2.5135	9.0396	0.3234	-0.2040	0.0075	0.0000	0.4504	0.4822
GSE11948	GSM301503	GPL3718	Normal	3286	528	-0.1335	0.1401	-0.2143	-0.2879	-0.0111	0.0196	0.5737	0.4975
GSE11948	GSM301504	GPL3720	Normal	1522	339	0.1924	1.3070	0.0026	0.1332	0.0129	0.0155	0.5067	0.4993
GSE11948	GSM301505	GPL3718	Normal	377	150	0.8911	-0.4899	1.3161	7.1940	0.0611	0.0517	0.3571	0.4918
GSE11948	GSM301506	GPL3720	Normal	296	167	1.6616	1.7047	0.4792	2.0455	0.0507	0.0103	0.2667	0.4957
GSE11948	GSM301507	GPL3718	Normal	230	270	-2.8249	19.4838	-0.0728	0.6952	0.0078	-0.0002	0.3751	0.4859
GSE11948	GSM301508	GPL3720	Normal	83	248	2.3263	16.1812	0.2827	-0.1906	-0.0052	-0.0020	0.6762	0.4959
GSE11948	GSM301539	GPL3718	Normal	229	182	2.2154	7.5918	0.0366	1.1286	0.0058	0.0000	0.4371	0.4830
GSE11948	GSM301540	GPL3720	Normal	220	158	1.8823	6.6343	0.2306	0.2350	0.0310	0.0023	0.3735	0.5072
GSE11948	GSM301541	GPL3718	Normal	2587	576	0.5279	-0.2387	0.4304	0.6785	0.0361	-0.0133	0.4141	0.5003
GSE11948	GSM301542	GPL3720	Normal	1770	292	0.4691	0.1071	0.4232	0.1386	0.0281	-0.1470	0.3193	0.5002
GSE11948	GSM301543	GPL3718	Normal	81	279	-3.7736	15.2999	-0.1257	1.0129	-0.0032	0.0049	0.9495	0.4959
GSE11948	GSM301544	GPL3720	Normal	85	226	2.3301	15.8605	0.3874	-0.1566	-0.0088	-0.0037	0.6340	0.5168
GSE11948	GSM301545	GPL3718	Normal	266	121	1.1288	0.3034	0.9462	5.8468	0.0222	0.0201	0.4765	0.5114
GSE11948	GSM301546	GPL3720	Normal	158	145	1.6535	1.2582	0.2826	0.8173	0.0386	0.0351	0.3850	0.4911
GSE11948	GSM301547	GPL3718	Normal	101	339	-2.4802	8.5073	-0.0316	1.3989	0.0111	0.0071	0.3698	0.5185
GSE11948	GSM301548	GPL3720	Normal	93	265	-2.6476	12.9896	0.1667	-0.2337	-0.0013	-0.0071	0.4006	0.4870
GSE11948	GSM301549	GPL3718	Normal	980	246	1.8407	3.8813	0.8229	4.7257	0.0496	0.0766	0.5274	0.4997
GSE11948	GSM301550	GPL3720	Normal	838	367	1.5186	6.3489	0.2804	0.5483	0.0334	0.0000	0.4462	0.4961
GSE11948	GSM301551	GPL3718	Normal	239	592	1.5913	13.3776	0.1165	0.7585	-0.0091	0.0000	0.5923	0.5096
GSE11948	GSM301552	GPL3720	Normal	194	250	2.1387	9.3854	0.3790	-0.1610	-0.0027	-0.0093	0.4674	0.4986
GSE11948	GSM301584	GPL3718	Normal	190	170	-0.2465	10.9395	-0.1033	0.9828	0.0036	0.0049	0.5013	0.4894
GSE11948	GSM301585	GPL3720	Normal	127	343	-3.1676	15.5845	0.1597	-0.3075	-0.0062	-0.0100	0.4284	0.5150
GSE11948	GSM301586	GPL3718	Normal	324	532	1.4497	6.7987	0.0053	0.7910	-0.0279	-0.0096	0.5553	0.4965
GSE11948	GSM301587	GPL3720	Normal	191	398	-0.0352	12.1704	0.3508	-0.2248	-0.0097	-0.0050	0.5556	0.4974
GSE11948	GSM301598	GPL3718	Normal	664	434	-0.1999	4.8931	-0.0043	1.0877	0.0059	0.0363	0.5607	0.4964
GSE11948	GSM301607	GPL3720	Normal	413	231	0.3936	4.3140	0.3447	-0.1921	0.0071	0.0080	0.5074	0.5021
GSE11948	GSM301608	GPL3718	Normal	82	137	-6.9737	54.2178	-0.0272	0.9742	0.0119	0.0065	0.1532	0.5223
GSE11948	GSM301609	GPL3720	Normal	83	315	2.5496	16.5862	0.2015	-0.2722	0.0018	-0.0021	0.3071	0.5077
GSE11948	GSM301610	GPL3718	Normal	400	262	-0.4978	8.0074	-0.1803	1.3865	-0.0139	0.0000	0.5687	0.5007
GSE11948	GSM301611	GPL3720	Normal	200	266	0.5939	9.1671	0.3388	-0.2842	-0.0085	-0.0081	0.5039	0.5015
GSE11948	GSM301612	GPL3718	Normal	106	99	-3.2513	11.5979	-0.0206	0.5104	0.0072	0.0029	0.2837	0.5071
GSE11948	GSM301613	GPL3720	Normal	92	293	-3.9955	17.2793	0.2000	-0.2984	0.0085	0.0016	0.3670	0.5193
GSE11948	GSM301614	GPL3718	Normal	283	493	1.1825	13.3127	0.0071	0.7398	-0.0068	-0.0007	0.5317	0.4939
GSE11948	GSM301615	GPL3720	Normal	184	203	2.5066	9.0501	0.3745	-0.1350	0.0005	-0.0067	0.4245	0.4986
GSE11948	GSM301616	GPL3718	Normal	180	365	0.8101	11.6769	0.0208	0.8207	-0.0320	-0.0352	0.4731	0.5173
GSE11948	GSM301617	GPL3720	Normal	115	309	3.2738	11.7348	0.3866	-0.1664	-0.0127	-0.0157	0.4532	0.5652
GSE11948	GSM301618	GPL3718	Normal	179	294	-2.2915	17.6642	0.0044	1.0351	-0.0258	-0.0181	0.6415	0.4851
GSE11948	GSM301619	GPL3720	Normal	184	227	2.1802	7.7862	0.3203	-0.1754	-0.0110	-0.0086	0.5169	0.5035
GSE11948	GSM301620	GPL3718	Normal	217	435	0.1500	8.1011	0.0418	0.9658	-0.0275	-0.0202	0.5932	0.5032
GSE11948	GSM301621	GPL3720	Normal	162	195	-0.1511	9.8102	0.3597	-0.2081	-0.0169	-0.0128	0.5359	0.4997
GSE11948	GSM301622	GPL3718	Normal	232	546	0.3170	11.7386	-0.0270	0.9536	-0.0309	-0.0206	0.5709	0.5035
GSE11948	GSM301623	GPL3720	Normal	144	264	1.9860	14.4451	0.2752	-0.1803	-0.0149	-0.0126	0.5126	0.5045
GSE11948	GSM301624	GPL3718	Normal	470	275	0.1094	6.3203	0.0695	0.9173	-0.0161	0.0035	0.6105	0.4993
GSE11948	GSM301626	GPL3720	Normal	215	322	2.2552	10.6261	0.3102	-0.1665	-0.0001	0.0024	0.5449	0.4990
GSE11948	GSM301627	GPL3718	Normal	589	529	-0.3325	5.9602	-0.0292	0.6872	0.0086	0.0143	0.5145	0.4998
GSE11948	GSM301628	GPL3720	Normal	337	364	1.2202	4.4058	0.2130	-0.2541	0.0082	0.0000	0.4331	0.4780
GSE11948	GSM301629	GPL3718	Normal	421	395	-0.0985	7.2635	0.0511	0.8949	-0.0341	-0.0062	0.6045	0.4979
GSE11948	GSM301631	GPL3720	Normal	230	398	0.5855	11.2864	0.2754	-0.2327	-0.0043	-0.0038	0.5088	0.5022
GSE11948	GSM301632	GPL3718	Normal	162	452	-1.1418	13.0765	-0.1474	1.0984	-0.0026	0.0003	0.5549	0.5011
GSE11948	GSM301633	GPL3720	Normal	194	293	2.0577	8.1522	0.3826	-0.2167	-0.0126	-0.0124	0.5344	0.5127
GSE11948	GSM301634	GPL3718	Normal	531	864	1.5785	6.6660	0.0798	0.7974	-0.0207	0.0000	0.5552	0.4832
GSE11948	GSM301636	GPL3720	Normal	229	473	2.4410	12.3266	0.4733	-0.2102	0.0066	0.0000	0.4266	0.4940
GSE11948	GSM301638	GPL3718	Normal	252	379	1.3551	14.4719	0.1483	0.7179	-0.0126	0.0000	0.5651	0.4894
GSE11948	GSM301640	GPL3720	Normal	126	281	2.5062	14.0812	0.3974	-0.1795	-0.0050	-0.0145	0.4246	0.4988
GSE11948	GSM301641	GPL3718	Normal	80	262	-3.9220	15.6942	-0.0876	1.0205	-0.0032	0.0055	0.9495	0.5060
GSE11948	GSM301642	GPL3720	Normal	79	363	4.1241	34.5343	0.2193	-0.3579	-0.0168	-0.0153	0.5681	0.5261
GSE11948	GSM301644	GPL3718	Normal	387	389	-0.5616	9.4709	-0.0747	0.9390	-0.0136	0.0045	0.6307	0.4992
GSE11948	GSM301648	GPL3720	Normal	211	344	0.7372	8.1062	0.3324	-0.2296	-0.0077	0.0000	0.5705	0.4923
GSE11948	GSM301649	GPL3718	Normal	103	258	-3.6249	18.1545	-0.0743	0.9050	-0.0036	0.0040	0.8375	0.5736
GSE11948	GSM301650	GPL3720	Normal	96	362	-3.8626	36.3103	0.2325	-0.3033	-0.0122	-0.0087	0.6472	0.4774
GSE11948	GSM302160	GPL3718	Normal	208	482	-0.8311	16.5571	-0.0175	0.8786	-0.0283	-0.0167	0.5544	0.4991
GSE11948	GSM302161	GPL3720	Normal	173	147	2.5140	11.1688	0.3629	-0.1627	-0.0207	-0.0137	0.5371	0.4993
GSE11948	GSM302162	GPL3718	Normal	105	355	-3.1186	23.7380	-0.0129	1.3028	-0.0033	-0.0059	0.3044	0.4810
GSE11948	GSM302163	GPL3720	Normal	96	311	2.4737	16.4078	0.3322	-0.1281	-0.0019	-0.0086	0.3555	0.4727
GSE11948	GSM302164	GPL3718	Normal	208	444	1.1268	10.8657	0.0600	0.8762	-0.0168	-0.0158	0.5141	0.5043
GSE11948	GSM302165	GPL3720	Normal	101	357	3.0635	13.6013	0.3636	-0.1606	-0.0041	-0.0084	0.4215	0.4994
GSE11948	GSM302166	GPL3718	Normal	177	372	-0.2599	14.9631	-0.0003	0.9580	-0.0237	-0.0300	0.4552	0.5168
GSE11948	GSM302167	GPL3720	Normal	162	108	-1.0835	15.6682	0.3339	-0.1427	-0.0196	-0.0240	0.4518	0.4844
GSE11948	GSM302168	GPL3718	Normal	175	172	-1.0124	6.5424	-0.2926	2.4794	-0.0253	-0.0148	0.7072	0.5193
GSE11948	GSM302169	GPL3720	Normal	119	289	0.9095	15.2322	0.1566	-0.1721	0.0147	0.0146	0.4645	0.5185
GSE11948	GSM302170	GPL3718	Normal	283	391	0.2662	10.9872	-0.0355	1.2139	-0.0181	-0.0053	0.5895	0.5019
GSE11948	GSM302171	GPL3720	Normal	153	397	3.1054	14.8996	0.3924	-0.1808	0.0017	-0.0045	0.3780	0.5267
GSE11948	GSM302172	GPL3718	Normal	234	807	0.3974	17.0894	-0.0507	0.9576	-0.0072	0.0000	0.6321	0.5053
GSE11948	GSM302173	GPL3720	Normal	139	422	0.4324	17.4174	0.1655	-0.2330	0.0142	0.0059	0.3553	0.5029
GSE11948	GSM302174	GPL3718	Normal	355	467	-2.2706	15.6042	-0.2454	1.7274	-0.0173	0.0040	0.6633	0.4999
GSE11948	GSM302175	GPL3720	Normal	181	230	-1.8663	16.0322	0.1931	-0.1847	0.0060	0.0122	0.5490	0.5021
GSE11948	GSM302176	GPL3718	Normal	237	357	-1.6094	7.8160	-0.1643	1.3417	0.0045	0.0229	0.6705	0.5063
GSE11948	GSM302177	GPL3720	Normal	96	269	5.0008	33.4725	0.3951	-0.2007	-0.0125	-0.0029	0.8625	0.5304
GSE11948	GSM302178	GPL3718	Normal	436	121	0.5644	10.5063	-0.0180	0.9408	0.0117	0.0428	0.5982	0.5008
GSE11948	GSM302179	GPL3720	Normal	248	371	-0.7095	9.4277	0.1686	-0.3270	0.0052	0.0162	0.5529	0.4938
GSE11948	GSM302180	GPL3718	Normal	87	210	-1.9672	10.5112	-0.1721	1.4171	-0.0158	-0.0070	0.9337	0.5045
GSE11948	GSM302181	GPL3720	Normal	76	284	5.7921	38.8671	0.3781	-0.1801	-0.0084	-0.0037	0.8837	0.5098
GSE11948	GSM302182	GPL3718	Normal	94	183	-0.1344	4.6192	-0.1521	1.9381	-0.0191	-0.0112	0.9500	0.5045
GSE11948	GSM302183	GPL3720	Normal	78	360	-4.1141	16.8852	-0.1655	0.7218	-0.0015	0.0021	0.7717	0.5081
GSE11948	GSM302184	GPL3718	Normal	113	209	-2.2760	12.6610	-0.1290	1.4349	-0.0021	0.0030	0.7308	0.5080
GSE11948	GSM302185	GPL3720	Normal	139	329	-1.1021	12.2227	0.2148	-0.3195	-0.0215	-0.0187	0.5465	0.4889
GSE11948	GSM302186	GPL3718	Normal	443	316	0.1528	4.2645	-0.0709	1.2121	-0.0270	-0.0044	0.5636	0.5021
GSE11948	GSM302187	GPL3720	Normal	317	193	0.5865	5.7729	0.3014	-0.1449	-0.0157	-0.0280	0.4958	0.5010
GSE11948	GSM302188	GPL3718	Normal	116	365	-1.3181	7.2763	-0.0585	1.6417	0.0137	0.0104	0.4229	0.4850
GSE11948	GSM302189	GPL3720	Normal	186	308	1.6224	8.8145	0.3253	-0.2418	0.0039	0.0000	0.4595	0.4890
GSE11948	GSM302190	GPL3718	Normal	117	350	-1.2514	10.7136	0.0846	1.1852	-0.0142	-0.0259	0.4720	0.5209
GSE11948	GSM302191	GPL3720	Normal	92	352	0.7102	20.6488	0.2040	-0.3430	0.0078	0.0000	0.2719	0.4856
GSE11948	GSM302192	GPL3718	Normal	81	374	-1.9557	12.5674	-0.1213	0.9675	0.0118	0.0070	0.1138	0.4918
GSE11948	GSM302193	GPL3720	Normal	104	266	2.8621	9.7023	0.3252	-0.2538	0.0026	-0.0030	0.3283	0.4809
GSE11948	GSM302194	GPL3718	Normal	87	276	0.5833	6.8308	-0.2039	2.1116	-0.0065	0.0025	0.9346	0.4807
GSE11948	GSM302195	GPL3720	Normal	115	327	-2.0929	9.1299	0.2016	-0.2951	-0.0174	-0.0175	0.4867	0.5289
GSE11948	GSM302196	GPL3718	Normal	174	609	0.1822	18.1939	-0.1416	1.3475	-0.0145	-0.0132	0.5270	0.4921
GSE11948	GSM302197	GPL3720	Normal	133	344	1.1971	7.0240	0.1437	-0.2616	0.0081	0.0008	0.3812	0.5102
GSE11948	GSM302199	GPL3718	Normal	348	355	0.4065	5.6848	0.1136	1.1364	-0.0158	0.0000	0.5752	0.4991
GSE11948	GSM302200	GPL3720	Normal	181	248	-1.8674	15.1958	-0.1739	0.4360	0.0185	0.0079	0.3973	0.4983
GSE11948	GSM302201	GPL3718	Normal	955	473	1.9143	7.6770	0.3081	2.5081	0.0177	0.0221	0.5102	0.4992
GSE11948	GSM302203	GPL3720	Normal	780	335	1.4414	5.5732	0.2757	2.3278	0.0467	0.0072	0.4042	0.4989
GSE11948	GSM302204	GPL3718	Normal	183	401	-1.2493	10.1834	0.0227	1.1508	-0.0009	0.0000	0.5139	0.4948
GSE11948	GSM302206	GPL3720	Normal	182	413	1.4827	9.5018	-0.0204	0.6236	0.0065	-0.0018	0.4236	0.5022
GSE11948	GSM302207	GPL3718	Normal	128	226	0.1061	16.2017	-0.0764	0.7111	0.0219	0.0135	0.4403	0.5113
GSE11948	GSM302208	GPL3720	Normal	104	350	-3.5875	24.5355	0.0828	-0.1713	0.0203	0.0005	0.3555	0.5027
GSE11948	GSM302217	GPL3718	Tumor	100	316	-3.4387	15.3036	-0.0927	1.6608	-0.0026	-0.0094	0.3643	0.4637
GSE11948	GSM302219	GPL3720	Tumor	82	308	-2.1443	16.9915	-0.1456	0.4884	0.0091	0.0034	0.1835	0.4925
GSE11948	GSM302221	GPL3718	Tumor	107	216	-3.1135	9.4224	-0.0800	0.7192	-0.0131	-0.0101	0.5920	0.5150
GSE11948	GSM302223	GPL3720	Tumor	88	272	-2.8085	13.7014	-0.2719	0.2103	-0.0002	0.0053	0.7939	0.5235
GSE11948	GSM302224	GPL3718	Tumor	96	277	-2.1488	7.1170	-0.1947	1.5842	0.0054	-0.0007	0.2690	0.5058
GSE11948	GSM302226	GPL3720	Tumor	81	151	-3.8687	27.9419	-0.2445	2.0283	0.0181	0.0109	0.1100	0.5082
GSE11948	GSM302227	GPL3718	Tumor	97	346	-2.6998	10.8926	-0.0864	1.5894	-0.0142	-0.0100	0.7845	0.4954
GSE11948	GSM302228	GPL3720	Tumor	98	401	-1.1658	8.4518	-0.4172	0.1483	-0.0031	-0.0028	0.6080	0.5447
GSE11948	GSM302229	GPL3718	Tumor	601	147	1.8056	3.5000	0.4433	2.7938	0.0343	0.0539	0.5164	0.5001
GSE11948	GSM302231	GPL3720	Tumor	715	271	1.8866	4.3678	0.6320	5.0248	0.0491	0.0264	0.4908	0.4995
GSE11948	GSM302233	GPL3718	Tumor	173	70	0.3994	10.3934	0.1681	1.0376	0.0008	-0.0044	0.4348	0.4926
GSE11948	GSM302235	GPL3720	Tumor	86	253	2.5195	9.1146	-0.2207	-0.3633	0.0234	0.0156	0.2697	0.4789
GSE11948	GSM302238	GPL3718	Tumor	97	480	-1.6698	10.2720	-0.0327	0.7981	-0.0137	-0.0055	0.8365	0.4926
GSE11948	GSM302240	GPL3720	Tumor	161	297	-0.6340	6.1653	-0.1537	0.5029	-0.0041	0.0058	0.7861	0.5119
GSE11948	GSM302242	GPL3718	Tumor	93	308	-0.8730	10.4125	-0.1618	1.4527	0.0032	-0.0029	0.2634	0.4776
GSE11948	GSM302244	GPL3720	Tumor	110	327	1.4633	5.1856	-0.0446	0.8695	0.0141	0.0062	0.2759	0.5085
GSE11948	GSM302247	GPL3718	Tumor	103	128	-0.8004	9.5075	-0.1311	1.3658	-0.0059	0.0024	0.8027	0.5094
GSE11948	GSM302249	GPL3720	Tumor	111	224	-0.0608	10.9328	-0.2194	1.5650	-0.0036	0.0006	0.6270	0.5231
GSE11948	GSM302251	GPL3718	Tumor	86	315	-2.3979	11.1864	-0.1159	1.0512	-0.0066	-0.0034	0.7759	0.5257
GSE11948	GSM302253	GPL3720	Tumor	183	350	0.1069	9.4116	0.0128	0.6377	0.0012	-0.0030	0.4398	0.5038
GSE11948	GSM302255	GPL3718	Tumor	106	175	-1.1269	5.1438	-0.1888	1.8516	-0.0121	-0.0059	0.6344	0.4869
GSE11948	GSM302257	GPL3720	Tumor	106	247	0.0274	7.1593	-0.0927	1.0055	-0.0045	-0.0040	0.5430	0.4917
GSE11948	GSM302258	GPL3718	Tumor	461	491	-1.5898	12.3604	-0.0980	1.3292	-0.0085	-0.0002	0.6588	0.5135
GSE11948	GSM302259	GPL3720	Tumor	310	257	-0.0383	5.5242	0.1789	-0.2831	-0.0129	-0.0109	0.5110	0.4930
GSE11948	GSM302260	GPL3718	Tumor	78	327	-3.3909	16.5549	-0.0365	0.8475	-0.0027	0.0035	0.8352	0.4446
GSE11948	GSM302261	GPL3720	Tumor	151	259	-1.4181	12.6815	0.1078	-0.1409	-0.0085	0.0000	0.5560	0.5005
GSE11948	GSM302262	GPL3718	Tumor	202	546	-1.4261	8.3123	-0.0548	0.7234	-0.0284	-0.0246	0.5502	0.4962
GSE11948	GSM302294	GPL3720	Tumor	187	327	0.6004	7.6943	0.1714	-0.1776	-0.0112	-0.0178	0.4771	0.5059
GSE11948	GSM302295	GPL3718	Tumor	268	278	-1.3094	12.8945	-0.0017	1.0224	0.0086	-0.0037	0.3528	0.5033
GSE11948	GSM302296	GPL3720	Tumor	250	337	0.9174	5.9483	0.2024	-0.1216	0.0048	-0.0058	0.4188	0.5105
GSE11948	GSM302297	GPL3718	Tumor	74	355	1.9046	25.6509	-0.1068	0.9500	0.0024	0.0073	0.8987	0.5055
GSE11948	GSM302298	GPL3720	Tumor	146	266	0.3048	7.8357	0.0135	-0.1376	-0.0066	-0.0061	0.5055	0.4974
GSE11948	GSM302299	GPL3718	Tumor	80	263	-3.0665	13.5451	-0.1286	0.9072	0.0043	0.0103	0.8428	0.4859
GSE11948	GSM302300	GPL3720	Tumor	100	181	-2.7126	17.6654	0.2235	-0.2128	-0.0124	-0.0089	0.5888	0.4768
GSE11948	GSM302301	GPL3718	Tumor	277	313	-1.4005	12.5569	-0.0317	0.7745	0.0026	0.0133	0.5796	0.4996
GSE11948	GSM302302	GPL3720	Tumor	191	225	2.0282	9.5014	0.3865	-0.2178	-0.0007	0.0000	0.5084	0.4811
GSE11948	GSM302303	GPL3718	Tumor	145	114	-1.2808	6.3871	-0.1211	1.2122	-0.0096	-0.0193	0.3348	0.5147
GSE11948	GSM302304	GPL3720	Tumor	152	255	-0.1229	9.3777	0.2005	-0.2384	-0.0096	-0.0287	0.4580	0.5080
GSE11948	GSM302305	GPL3718	Tumor	681	243	-0.5004	4.5367	-0.1293	1.0303	-0.0129	0.0149	0.6219	0.5017
GSE11948	GSM302306	GPL3720	Tumor	315	220	1.0313	6.3611	0.3969	-0.1414	-0.0104	0.0016	0.5694	0.4999
GSE16619	GSM417088	GPL3718	Tumor	303	725	-0.0947	1.8898	-0.1107	0.4215	0.0022	0.0229	0.5259	0.4823
GSE16619	GSM417089	GPL3718	Tumor	297	525	0.4968	1.4694	0.4480	1.5550	0.0078	0.0164	0.5081	0.5033
GSE16619	GSM417090	GPL3718	Tumor	207	330	0.6699	1.7428	0.3695	1.4979	0.0111	0.0296	0.5976	0.5102
GSE16619	GSM417092	GPL3718	Tumor	276	304	-0.5632	3.5338	-0.2009	0.9125	0.0011	0.0132	0.6231	0.5500
GSE16619	GSM417095	GPL3718	Tumor	321	217	-1.8834	7.5671	-0.2969	2.3348	0.0005	-0.0210	0.3685	0.4989
GSE16619	GSM417096	GPL3718	Tumor	421	439	-0.1586	3.2474	-0.0781	0.9305	0.0064	-0.0298	0.4041	0.4988
GSE16619	GSM417098	GPL3718	Tumor	849	279	-0.2375	2.6824	-0.2184	0.9414	0.0064	0.0019	0.4892	0.5002
GSE16619	GSM417100	GPL3718	Tumor	213	370	0.0140	2.3078	-0.1190	0.1983	0.0111	0.1741	0.5737	0.4952
GSE16619	GSM417102	GPL3718	Tumor	643	349	0.2405	2.4225	0.2031	1.4276	-0.0039	-0.0270	0.4105	0.5027
GSE16619	GSM417104	GPL3718	Tumor	245	266	-1.2956	7.7200	-0.1280	1.3478	-0.0072	0.0113	0.7433	0.4992
GSE16619	GSM417108	GPL3718	Tumor	172	61	-1.7323	11.4099	-0.2259	2.0688	-0.0066	-0.0155	0.4036	0.5091
GSE16619	GSM417112	GPL3718	Tumor	84	505	-3.6213	15.0264	-0.1164	1.2198	0.0006	-0.0051	0.2520	0.4507
GSE16619	GSM417113	GPL3718	Tumor	147	479	1.6189	10.2936	-0.0548	0.9589	0.0016	-0.0072	0.3651	0.4982
GSE16619	GSM417116	GPL3718	Tumor	392	485	2.8628	24.9226	-0.0573	1.0137	0.0057	-0.0107	0.4201	0.4961
GSE16619	GSM417118	GPL3718	Tumor	203	116	-1.3809	5.6706	-0.2482	2.1006	-0.0002	0.0013	0.5564	0.5160
GSE16619	GSM417120	GPL3718	Tumor	107	446	-0.2010	19.6276	-0.0900	1.1411	-0.0015	-0.0087	0.2431	0.4756
GSE16619	GSM417121	GPL3718	Tumor	79	615	0.1381	13.8568	-0.0915	1.0442	0.0014	-0.0040	0.2050	0.5290
GSE16619	GSM417123	GPL3718	Tumor	85	570	-1.8598	9.0903	-0.1138	0.8726	0.0021	-0.0032	0.1936	0.4913
GSE16619	GSM417124	GPL3718	Tumor	140	196	-0.3239	8.7342	-0.0860	1.4442	-0.0017	-0.0113	0.4379	0.4655
GSE16619	GSM417127	GPL3718	Tumor	295	264	1.7418	8.6176	0.3316	3.1880	0.0117	0.0520	0.5330	0.5003
GSE16619	GSM417128	GPL3718	Tumor	170	585	-3.4303	31.1074	-0.0521	0.8290	0.0008	-0.0059	0.3847	0.5049
GSE16619	GSM417129	GPL3720	Tumor	150	159	0.3890	6.7784	0.1178	0.0477	0.0144	-0.0768	0.4122	0.4913
GSE16619	GSM417130	GPL3720	Tumor	294	329	0.6302	3.3942	0.1573	0.0184	-0.0008	0.0243	0.5728	0.5006
GSE16619	GSM417132	GPL3720	Tumor	157	336	0.8569	3.4963	0.2611	0.4635	0.0264	0.0384	0.5638	0.4824
GSE16619	GSM417133	GPL3720	Tumor	116	202	2.2351	6.3230	0.0651	0.0512	0.0080	0.0000	0.4610	0.4803
GSE16619	GSM417135	GPL3720	Tumor	316	444	0.2481	4.2418	0.1552	0.0495	0.0119	0.0025	0.4817	0.5093
GSE16619	GSM417138	GPL3720	Tumor	288	430	-0.0225	2.3093	0.0674	0.0431	0.0189	-0.0011	0.3971	0.5001
