Sample	Series	Speak	Breakpoint_Step	Breakpoint_CBS	Spread	Classification_Label	Decision_Value	Good_Poor	Case_Diagnosis
GSM253770	GSE10044	1.9628	119	90	0.4166	2	-2.0338	poor	3: poor quality, indiscernible CNAs with many waves
GSM253771	GSE10044	1.3436	120	25	0.2367	1	1.4862	good	5: good quality, control or without many CNAs
GSM253772	GSE10044	1.2542	120	22	0.308	1	0.9921	good	5: good quality, control or without many CNAs
GSM253773	GSE10044	1.3644	119	22	0.2485	1	1.6037	good	5: good quality, control or without many CNAs
GSM253774	GSE10044	1.2927	120	22	0.2499	1	1.5683	good	5: good quality, control or without many CNAs
GSM253775	GSE10044	1.975	115	105	0.5317	2	-1.8909	poor	3: poor quality, indiscernible CNAs with many waves
GSM253776	GSE10044	1.8079	120	84	0.616	2	-1.6518	poor	3: poor quality, indiscernible CNAs with many waves
GSM253777	GSE10044	1.7132	111	95	0.4425	2	-2.3006	poor	3: poor quality, indiscernible CNAs with many waves
GSM253778	GSE10044	1.7991	120	92	0.4275	2	-2.2108	poor	3: poor quality, indiscernible CNAs with many waves
GSM253779	GSE10044	1.3431	120	33	0.2251	1	1.0067	good	5: good quality, control or without many CNAs
GSM253780	GSE10044	1.4278	120	39	0.223	1	0.6573	good	5: good quality, control or without many CNAs
GSM253781	GSE10044	1.3777	120	28	0.241	1	1.2848	good	5: good quality, control or without many CNAs
GSM253782	GSE10044	1.3434	120	26	0.2651	1	1.2322	good	5: good quality, control or without many CNAs
GSM253783	GSE10044	1.8928	116	98	0.4891	2	-2.1004	poor	3: poor quality, indiscernible CNAs with many waves
GSM253784	GSE10044	1.7724	95	92	0.5114	2	-2.1739	poor	3: poor quality, indiscernible CNAs with many waves
GSM253785	GSE10044	1.9093	114	86	0.4432	2	-2.1061	poor	3: poor quality, indiscernible CNAs with many waves
GSM253786	GSE10044	1.945	120	93	0.4579	2	-2.0986	poor	3: poor quality, indiscernible CNAs with many waves
GSM253787	GSE10044	1.2917	120	22	0.2507	1	1.5633	good	5: good quality, control or without many CNAs
GSM253788	GSE10044	1.333	120	22	0.2616	1	1.5024	good	5: good quality, control or without many CNAs
GSM253789	GSE10044	1.3275	119	22	0.303	1	1.0896	good	5: good quality, control or without many CNAs
GSM253790	GSE10044	1.2318	109	22	0.2947	1	1.2281	good	5: good quality, control or without many CNAs
GSM253791	GSE10044	2.01	116	96	0.5489	2	-1.8204	poor	3: poor quality, indiscernible CNAs with many waves
GSM253792	GSE10044	1.7938	87	80	0.6126	2	-1.7996	poor	3: poor quality, indiscernible CNAs with many waves
GSM253793	GSE10044	1.83	120	86	0.5429	2	-1.9838	poor	3: poor quality, indiscernible CNAs with many waves
GSM253794	GSE10044	1.802	120	44	0.5686	2	-1.9197	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM253795	GSE10044	1.291	120	34	0.2573	1	0.6952	good	5: good quality, control or without many CNAs
GSM253796	GSE10044	1.2938	120	22	0.2729	1	1.3975	good	5: good quality, control or without many CNAs
GSM253797	GSE10044	1.3052	113	23	0.223	1	1.6827	good	5: good quality, control or without many CNAs
GSM253798	GSE10044	1.3993	117	26	0.2386	1	1.4591	good	5: good quality, control or without many CNAs
GSM288816	GSE11447	2.7856	120	26	0.781	2	-0.8762	poor	1: hypersegmented, discernible CNAs with some waves
GSM288817	GSE11447	3.2401	5	22	0.3944	1	1.5977	good	2: good quality, discernible CNAs with few waves
GSM288818	GSE11447	4.3458	5	22	0.5598	1	0.803	good	2: good quality, discernible CNAs with few waves
GSM288819	GSE11447	2.5097	118	23	0.4174	1	0.0482	good	2: good quality, discernible CNAs with few waves
GSM288820	GSE11447	2.2624	59	22	0.4634	2	-0.0455	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288821	GSE11447	3.7528	14	22	0.6175	1	0.273	good	2: good quality, discernible CNAs with few waves
GSM288822	GSE11447	3.2945	15	22	0.5992	1	0.2016	good	2: good quality, discernible CNAs with few waves
GSM288823	GSE11447	2.9532	11	24	0.4377	1	1.6374	good	2: good quality, discernible CNAs with few waves
GSM288824	GSE11447	2.2834	116	23	0.5508	2	-1.122	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288825	GSE11447	2.9093	45	26	0.4168	1	1.3883	good	2: good quality, discernible CNAs with few waves
GSM288826	GSE11447	3.1025	20	24	0.4336	1	1.7649	good	2: good quality, discernible CNAs with few waves
GSM288827	GSE11447	2.1355	55	22	0.5889	2	-1.1241	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288828	GSE11447	2.3039	120	26	0.6792	2	-1.1183	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288829	GSE11447	2.4751	72	22	0.4958	2	-0.3564	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288830	GSE11447	2.5156	13	23	0.5122	1	0.4905	good	2: good quality, discernible CNAs with few waves
GSM288831	GSE11447	3.5865	17	25	0.7766	2	-0.8985	poor	1: hypersegmented, discernible CNAs with some waves
GSM288832	GSE11447	2.3984	107	23	0.6694	2	-1.0725	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288833	GSE11447	2.4934	9	24	0.4588	1	1.0906	good	2: good quality, discernible CNAs with few waves
GSM288834	GSE11447	2.1427	120	22	0.5493	2	-1.2027	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288835	GSE11447	2.2073	49	27	0.8682	2	-1.1628	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288836	GSE11447	2.3404	104	22	0.5978	2	-1.1091	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288837	GSE11447	2.2161	114	23	0.4702	2	-0.7085	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288838	GSE11447	2.6759	44	27	0.5816	2	-0.5594	poor	1: hypersegmented, discernible CNAs with some waves
GSM288839	GSE11447	2.6571	62	26	1.0076	2	-0.8683	poor	1: hypersegmented, discernible CNAs with some waves
GSM288840	GSE11447	2.726	75	25	0.3437	1	1.5697	good	2: good quality, discernible CNAs with few waves
GSM288841	GSE11447	2.2457	114	22	0.4714	2	-0.6594	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288842	GSE11447	3.6265	9	22	0.4182	1	1.8952	good	2: good quality, discernible CNAs with few waves
GSM288843	GSE11447	2.4887	4	22	0.3947	1	1.3303	good	2: good quality, discernible CNAs with few waves
GSM288844	GSE11447	2.8758	19	26	0.6094	2	-0.2328	poor	1: hypersegmented, discernible CNAs with some waves
GSM288845	GSE11447	3.0619	5	22	0.3893	1	1.5911	good	2: good quality, discernible CNAs with few waves
GSM288846	GSE11447	2.3055	79	25	0.3772	1	0.827	good	2: good quality, discernible CNAs with few waves
GSM288847	GSE11447	2.7947	35	25	0.7866	2	-1.1755	poor	1: hypersegmented, discernible CNAs with some waves
GSM288848	GSE11447	3.4725	22	26	0.7555	2	-0.9107	poor	1: hypersegmented, discernible CNAs with some waves
GSM288849	GSE11447	2.3849	53	38	0.622	2	-1.2134	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288850	GSE11447	2.0804	54	22	0.7347	2	-1.2835	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288851	GSE11447	2.7058	62	26	0.5443	2	-0.4693	poor	1: hypersegmented, discernible CNAs with some waves
GSM288852	GSE11447	2.099	120	22	0.7222	2	-1.0728	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288853	GSE11447	2.3612	89	26	0.4944	2	-0.707	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288854	GSE11447	2.3866	50	24	0.3501	1	1.7116	good	2: good quality, discernible CNAs with few waves
GSM288855	GSE11447	2.5045	120	24	0.3841	1	0.4092	good	2: good quality, discernible CNAs with few waves
GSM288856	GSE11447	3.3893	16	35	0.6765	2	-0.4215	poor	1: hypersegmented, discernible CNAs with some waves
GSM288857	GSE11447	2.4137	37	23	0.4273	1	0.9519	good	2: good quality, discernible CNAs with few waves
GSM288858	GSE11447	2.2484	119	23	0.3997	1	0.0932	good	2: good quality, discernible CNAs with few waves
GSM288859	GSE11447	4.7072	35	25	0.3647	1	2.5248	good	2: good quality, discernible CNAs with few waves
GSM288860	GSE11447	2.4234	71	22	0.5845	2	-0.9396	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288861	GSE11447	2.3501	105	22	0.4311	2	-0.0893	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288862	GSE11447	2.3687	76	22	0.7846	2	-1.079	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288863	GSE11447	2.1419	114	22	1.1738	2	-0.8953	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288864	GSE11447	2.3824	62	26	1.1587	2	-0.8328	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288865	GSE11447	2.5138	86	22	1.4792	2	-0.8029	poor	1: hypersegmented, discernible CNAs with some waves
GSM288866	GSE11447	2.3207	81	35	0.4082	1	0.0544	good	2: good quality, discernible CNAs with few waves
GSM288867	GSE11447	2.1581	59	22	0.5456	2	-0.9201	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM288868	GSE11447	2.454	76	27	0.3382	1	1.4506	good	2: good quality, discernible CNAs with few waves
GSM288869	GSE11447	2.2359	119	22	0.3353	1	0.9582	good	2: good quality, discernible CNAs with few waves
GSM302688	GSE11960	1.6819	14	24	0.2935	1	1.642	good	2: good quality, discernible CNAs with few waves
GSM302689	GSE11960	5.1148	52	56	0.2718	1	2.5415	good	2: good quality, discernible CNAs with few waves
GSM302690	GSE11960	1.1702	117	22	0.2553	1	1.5109	good	5: good quality, control or without many CNAs
GSM302691	GSE11960	1.5858	5	26	0.2764	1	1.3673	good	2: good quality, discernible CNAs with few waves
GSM302692	GSE11960	1.7956	120	161	0.2832	2	-1.9984	poor	3: poor quality, indiscernible CNAs with many waves
GSM302693	GSE11960	3.765	120	253	0.2972	2	-1.4766	poor	1: hypersegmented, discernible CNAs with some waves
GSM302694	GSE11960	5.6594	96	75	0.294	1	1.5667	good	2: good quality, discernible CNAs with few waves
GSM302695	GSE11960	1.3821	118	26	0.2847	1	1.0699	good	5: good quality, control or without many CNAs
GSM302696	GSE11960	2.5061	41	95	0.3038	2	-0.6566	poor	1: hypersegmented, discernible CNAs with some waves
GSM302697	GSE11960	4.1252	46	57	0.2973	1	2.3446	good	2: good quality, discernible CNAs with few waves
GSM302698	GSE11960	4.2187	115	99	0.2942	1	0.1732	good	2: good quality, discernible CNAs with few waves
GSM302699	GSE11960	4.892	12	22	0.2797	1	2.0951	good	2: good quality, discernible CNAs with few waves
GSM302700	GSE11960	8.0794	33	39	0.2744	1	2.5366	good	2: good quality, discernible CNAs with few waves
GSM302701	GSE11960	3.7867	7	22	0.2909	1	1.8743	good	2: good quality, discernible CNAs with few waves
GSM302702	GSE11960	6.8226	90	97	0.2844	1	1.152	good	2: good quality, discernible CNAs with few waves
GSM302703	GSE11960	2.3391	101	63	0.2822	2	-0.0166	poor	3: poor quality, indiscernible CNAs with many waves
GSM302704	GSE11960	1.9312	114	309	0.31	2	-1.637	poor	3: poor quality, indiscernible CNAs with many waves
GSM302705	GSE11960	5.0884	120	126	0.3009	2	-0.0795	poor	1: hypersegmented, discernible CNAs with some waves
GSM302706	GSE11960	3.9169	19	28	0.2528	1	2.5547	good	2: good quality, discernible CNAs with few waves
GSM302707	GSE11960	3.1265	39	58	0.2826	1	1.7495	good	2: good quality, discernible CNAs with few waves
GSM302708	GSE11960	8.7906	116	111	0.2927	1	0.8638	good	2: good quality, discernible CNAs with few waves
GSM302709	GSE11960	2.9107	51	84	0.3097	1	0.1337	good	2: good quality, discernible CNAs with few waves
GSM302710	GSE11960	6.3285	30	81	0.2773	1	1.5901	good	2: good quality, discernible CNAs with few waves
GSM302711	GSE11960	8.9357	54	64	0.2861	1	2.1865	good	2: good quality, discernible CNAs with few waves
GSM302712	GSE11960	1.5883	15	30	0.2927	1	1.457	good	2: good quality, discernible CNAs with few waves
GSM302713	GSE11960	2.8401	57	109	0.2737	2	-0.7539	poor	1: hypersegmented, discernible CNAs with some waves
GSM302714	GSE11960	7.4789	69	82	0.2638	1	1.6886	good	2: good quality, discernible CNAs with few waves
GSM302715	GSE11960	4.4913	57	77	0.2806	1	1.529	good	2: good quality, discernible CNAs with few waves
GSM302716	GSE11960	4.0304	58	54	0.3017	1	2.27	good	2: good quality, discernible CNAs with few waves
GSM302717	GSE11960	6.0933	42	63	0.292	1	2.4595	good	2: good quality, discernible CNAs with few waves
GSM302718	GSE11960	6.3585	93	84	0.2733	1	1.4283	good	2: good quality, discernible CNAs with few waves
GSM302719	GSE11960	3.128	85	72	0.2933	1	0.5406	good	2: good quality, discernible CNAs with few waves
GSM302720	GSE11960	9.6165	54	62	0.2943	1	2.156	good	2: good quality, discernible CNAs with few waves
GSM302721	GSE11960	3.9897	78	93	0.2938	1	0.4783	good	2: good quality, discernible CNAs with few waves
GSM302722	GSE11960	4.1378	14	32	0.2792	1	2.5569	good	2: good quality, discernible CNAs with few waves
GSM302723	GSE11960	9.1595	20	30	0.2972	1	2.1226	good	2: good quality, discernible CNAs with few waves
GSM302724	GSE11960	3.005	33	54	0.3071	1	1.8377	good	2: good quality, discernible CNAs with few waves
GSM302725	GSE11960	7.4469	63	58	0.3049	1	2.4292	good	2: good quality, discernible CNAs with few waves
GSM302726	GSE11960	4.0751	108	95	0.2749	1	0.2769	good	2: good quality, discernible CNAs with few waves
GSM302727	GSE11960	5.3927	78	88	0.3008	1	1.2499	good	2: good quality, discernible CNAs with few waves
GSM302728	GSE11960	5.7755	68	88	0.297	1	1.413	good	2: good quality, discernible CNAs with few waves
GSM302729	GSE11960	7.2661	91	82	0.2649	1	1.5543	good	2: good quality, discernible CNAs with few waves
GSM302730	GSE11960	4.2867	26	54	0.2994	1	2.4654	good	2: good quality, discernible CNAs with few waves
GSM302731	GSE11960	6.3239	56	47	0.2796	1	2.7198	good	2: good quality, discernible CNAs with few waves
GSM302732	GSE11960	5.9384	75	84	0.2513	1	1.4478	good	2: good quality, discernible CNAs with few waves
GSM302733	GSE11960	1.3974	6	25	0.2768	1	1.2891	good	5: good quality, control or without many CNAs
GSM302734	GSE11960	5.7741	116	111	0.295	1	0.4688	good	2: good quality, discernible CNAs with few waves
GSM302735	GSE11960	10.7503	52	61	0.2845	1	2.0211	good	2: good quality, discernible CNAs with few waves
GSM302736	GSE11960	9.3008	25	36	0.3037	1	2.3023	good	2: good quality, discernible CNAs with few waves
GSM302737	GSE11960	5.1587	74	67	0.3007	1	1.9617	good	2: good quality, discernible CNAs with few waves
GSM302738	GSE11960	1.3829	120	27	0.2898	1	0.9248	good	5: good quality, control or without many CNAs
GSM302739	GSE11960	13.0664	31	42	0.3199	1	1.8323	good	2: good quality, discernible CNAs with few waves
GSM302740	GSE11960	1.6541	24	24	0.3035	1	1.7246	good	2: good quality, discernible CNAs with few waves
GSM302741	GSE11960	5.045	51	59	0.2689	1	2.4297	good	2: good quality, discernible CNAs with few waves
GSM302742	GSE11960	1.1321	120	22	0.3086	1	0.9358	good	5: good quality, control or without many CNAs
GSM302743	GSE11960	1.3156	4	26	0.2894	1	1.1759	good	5: good quality, control or without many CNAs
GSM302744	GSE11960	1.7449	120	122	0.3146	2	-2.0572	poor	3: poor quality, indiscernible CNAs with many waves
GSM302745	GSE11960	3.826	120	249	0.2932	2	-1.4553	poor	1: hypersegmented, discernible CNAs with some waves
GSM302746	GSE11960	3.7985	76	75	0.2901	1	1.0581	good	2: good quality, discernible CNAs with few waves
GSM302747	GSE11960	1.1707	120	22	0.3189	1	0.8116	good	5: good quality, control or without many CNAs
GSM302748	GSE11960	2.1844	31	89	0.3239	2	-0.8519	poor	3: poor quality, indiscernible CNAs with many waves
GSM302749	GSE11960	3.287	30	51	0.3311	1	2.1412	good	2: good quality, discernible CNAs with few waves
GSM302750	GSE11960	3.8844	120	99	0.3195	2	-0.1117	poor	1: hypersegmented, discernible CNAs with some waves
GSM302751	GSE11960	5.9385	12	22	0.2913	1	2.0178	good	2: good quality, discernible CNAs with few waves
GSM302752	GSE11960	10.9789	36	41	0.2829	1	2.1019	good	2: good quality, discernible CNAs with few waves
GSM302753	GSE11960	5.2756	7	22	0.2805	1	1.7382	good	2: good quality, discernible CNAs with few waves
GSM302754	GSE11960	4.676	104	90	0.3064	1	0.7068	good	2: good quality, discernible CNAs with few waves
GSM302755	GSE11960	1.8803	106	50	0.3145	2	-0.2871	poor	3: poor quality, indiscernible CNAs with many waves
GSM302756	GSE11960	2.0725	110	300	0.3248	2	-1.7088	poor	3: poor quality, indiscernible CNAs with many waves
GSM302757	GSE11960	4.4921	114	135	0.3194	2	-0.4908	poor	1: hypersegmented, discernible CNAs with some waves
GSM302758	GSE11960	5.0905	18	22	0.2867	1	2.269	good	2: good quality, discernible CNAs with few waves
GSM302759	GSE11960	5.4723	38	55	0.2806	1	2.6848	good	2: good quality, discernible CNAs with few waves
GSM302760	GSE11960	8.6517	100	113	0.2898	1	0.8761	good	2: good quality, discernible CNAs with few waves
GSM302761	GSE11960	3.5582	106	80	0.3168	1	0.3041	good	2: good quality, discernible CNAs with few waves
GSM302762	GSE11960	4.6929	36	66	0.328	1	2.1434	good	2: good quality, discernible CNAs with few waves
GSM302763	GSE11960	6.8172	53	57	0.3054	1	2.585	good	2: good quality, discernible CNAs with few waves
GSM302764	GSE11960	1.477	10	23	0.3264	1	1.2474	good	5: good quality, control or without many CNAs
GSM302765	GSE11960	3.0722	49	102	0.2783	2	-0.3347	poor	1: hypersegmented, discernible CNAs with some waves
GSM302766	GSE11960	10.4568	99	82	0.2783	1	1.4661	good	2: good quality, discernible CNAs with few waves
GSM302767	GSE11960	4.3365	82	74	0.3075	1	1.3019	good	2: good quality, discernible CNAs with few waves
GSM302768	GSE11960	3.0028	61	63	0.2861	1	1.1566	good	2: good quality, discernible CNAs with few waves
GSM302769	GSE11960	4.7392	42	59	0.3207	1	2.4701	good	2: good quality, discernible CNAs with few waves
GSM302770	GSE11960	4.4097	87	74	0.3389	1	1.1788	good	2: good quality, discernible CNAs with few waves
GSM302771	GSE11960	3.6613	72	60	0.3123	1	1.5719	good	2: good quality, discernible CNAs with few waves
GSM302772	GSE11960	10.4735	48	60	0.3142	1	2.0962	good	2: good quality, discernible CNAs with few waves
GSM302773	GSE11960	3.5706	70	82	0.3206	1	0.6017	good	2: good quality, discernible CNAs with few waves
GSM302774	GSE11960	4.2767	16	34	0.293	1	2.7174	good	2: good quality, discernible CNAs with few waves
GSM302775	GSE11960	17.8884	26	30	0.2923	1	1.3135	good	2: good quality, discernible CNAs with few waves
GSM302776	GSE11960	3.0113	34	58	0.3084	1	1.6217	good	2: good quality, discernible CNAs with few waves
GSM302777	GSE11960	8.0205	64	61	0.3371	1	2.2793	good	2: good quality, discernible CNAs with few waves
GSM302778	GSE11960	3.881	94	94	0.3326	1	0.1562	good	2: good quality, discernible CNAs with few waves
GSM302779	GSE11960	4.3679	87	77	0.3426	1	1.0394	good	2: good quality, discernible CNAs with few waves
GSM302780	GSE11960	4.3731	54	81	0.3684	1	1.1593	good	2: good quality, discernible CNAs with few waves
GSM302781	GSE11960	5.5081	86	84	0.277	1	1.3394	good	2: good quality, discernible CNAs with few waves
GSM302782	GSE11960	5.7433	30	48	0.3272	1	2.8919	good	2: good quality, discernible CNAs with few waves
GSM302783	GSE11960	8.0519	44	54	0.2731	1	2.4775	good	2: good quality, discernible CNAs with few waves
GSM302784	GSE11960	4.0081	72	76	0.315	1	1.1434	good	2: good quality, discernible CNAs with few waves
GSM302785	GSE11960	1.2852	120	25	0.3165	1	0.6765	good	5: good quality, control or without many CNAs
GSM302786	GSE11960	5.5641	117	118	0.2859	1	0.2569	good	2: good quality, discernible CNAs with few waves
GSM302787	GSE11960	7.8198	47	50	0.3146	1	2.6286	good	2: good quality, discernible CNAs with few waves
GSM302788	GSE11960	13.4353	22	37	0.3158	1	1.7304	good	2: good quality, discernible CNAs with few waves
GSM302789	GSE11960	4.6757	63	79	0.323	1	1.4476	good	2: good quality, discernible CNAs with few waves
GSM302790	GSE11960	1.2502	120	22	0.3025	1	1.0612	good	5: good quality, control or without many CNAs
GSM303258	GSE11960	5.5606	88	91	0.3186	1	1.101	good	2: good quality, discernible CNAs with few waves
GSM303259	GSE11960	6.9118	82	96	0.2934	1	1.2402	good	2: good quality, discernible CNAs with few waves
GSM303260	GSE11960	2.5473	120	122	0.2955	2	-1.4619	poor	1: hypersegmented, discernible CNAs with some waves
GSM303261	GSE11960	2.0583	117	296	0.3241	2	-1.6966	poor	3: poor quality, indiscernible CNAs with many waves
GSM303262	GSE11960	5.0807	120	138	0.2904	2	-0.2841	poor	1: hypersegmented, discernible CNAs with some waves
GSM303263	GSE11960	5.4488	89	90	0.3317	1	1.0686	good	2: good quality, discernible CNAs with few waves
GSM303264	GSE11960	8.2965	104	93	0.2992	1	1.2716	good	2: good quality, discernible CNAs with few waves
GSM303265	GSE11960	2.6987	111	123	0.2719	2	-1.2774	poor	1: hypersegmented, discernible CNAs with some waves
GSM303266	GSE11960	2.0282	120	296	0.3059	2	-1.6692	poor	3: poor quality, indiscernible CNAs with many waves
GSM303267	GSE11960	3.9774	116	121	0.3267	2	-0.5288	poor	1: hypersegmented, discernible CNAs with some waves
GSM322973	GSE12906	2.0406	118	77	0.5388	2	-1.8561	poor	3: poor quality, indiscernible CNAs with many waves
GSM322974	GSE12906	1.1595	120	22	0.3288	1	0.6641	good	5: good quality, control or without many CNAs
GSM322975	GSE12906	1.8233	116	97	0.5276	2	-2.0245	poor	3: poor quality, indiscernible CNAs with many waves
GSM322976	GSE12906	1.3176	120	23	0.2713	1	1.3614	good	5: good quality, control or without many CNAs
GSM322977	GSE12906	2.1173	107	107	0.5234	2	-1.8402	poor	3: poor quality, indiscernible CNAs with many waves
GSM322978	GSE12906	2.013	5	22	0.2831	1	1.5333	good	2: good quality, discernible CNAs with few waves
GSM322979	GSE12906	1.1351	119	22	0.3459	1	0.3989	good	5: good quality, control or without many CNAs
GSM322980	GSE12906	1.9239	103	75	0.5104	2	-2.0437	poor	3: poor quality, indiscernible CNAs with many waves
GSM322981	GSE12906	1.1495	120	22	0.3041	1	1.0012	good	5: good quality, control or without many CNAs
GSM322982	GSE12906	1.9745	120	76	0.559	2	-1.8379	poor	3: poor quality, indiscernible CNAs with many waves
GSM322983	GSE12906	1.1565	120	22	0.303	1	1.018	good	5: good quality, control or without many CNAs
GSM322984	GSE12906	1.9835	117	83	0.5568	2	-1.8342	poor	3: poor quality, indiscernible CNAs with many waves
GSM322985	GSE12906	1.3008	120	25	0.2938	1	0.9842	good	5: good quality, control or without many CNAs
GSM322986	GSE12906	1.8827	101	75	0.5838	2	-1.8534	poor	3: poor quality, indiscernible CNAs with many waves
GSM322987	GSE12906	1.7893	116	75	0.5757	2	-1.9122	poor	3: poor quality, indiscernible CNAs with many waves
GSM322988	GSE12906	1.5099	6	30	0.3371	1	1.1618	good	2: good quality, discernible CNAs with few waves
GSM322989	GSE12906	1.976	105	71	0.589	2	-1.7613	poor	3: poor quality, indiscernible CNAs with many waves
GSM322990	GSE12906	1.6465	107	36	0.292	1	0.5473	good	2: good quality, discernible CNAs with few waves
GSM322991	GSE12906	2.15	120	72	0.5912	2	-1.5871	poor	3: poor quality, indiscernible CNAs with many waves
GSM322992	GSE12906	1.9478	120	112	0.5171	2	-1.9307	poor	3: poor quality, indiscernible CNAs with many waves
GSM322993	GSE12906	1.9012	115	73	0.5587	2	-1.9137	poor	3: poor quality, indiscernible CNAs with many waves
GSM322994	GSE12906	1.7944	16	27	0.293	1	1.7632	good	2: good quality, discernible CNAs with few waves
GSM322995	GSE12906	1.9998	118	66	0.5751	2	-1.7727	poor	3: poor quality, indiscernible CNAs with many waves
GSM322996	GSE12906	2.46	8	28	0.2463	1	1.7353	good	2: good quality, discernible CNAs with few waves
GSM322997	GSE12906	1.8343	84	60	0.5599	2	-2.0081	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM322998	GSE12906	1.1748	117	22	0.2396	1	1.6003	good	5: good quality, control or without many CNAs
GSM322999	GSE12906	1.9562	115	70	0.5711	2	-1.826	poor	3: poor quality, indiscernible CNAs with many waves
GSM323000	GSE12906	2.0554	120	76	0.5478	2	-1.8121	poor	3: poor quality, indiscernible CNAs with many waves
GSM323001	GSE12906	1.1484	118	22	0.2508	1	1.5227	good	5: good quality, control or without many CNAs
GSM323002	GSE12906	1.993	117	72	0.5457	2	-1.8794	poor	3: poor quality, indiscernible CNAs with many waves
